OBJECTID_1,OBJECTID,votdst,NAME,SUM_VOTERS,Shape_Length,Shape_Area
1168,1168,3315,RED 45-3315,739,9117.26817157849,3939310.61460327
1169,1169,3547,RED 45-3547,472,13178.7440940481,8306249.59371918
1170,1170,3584,RED 45-3584,560,10637.5197925626,7071178.23918313
1171,1171,3737,RED 45-3737,546,13036.4321180702,6116026.08486535
1172,1172,0935,RED 48-0935,572,11252.1259198477,5654233.77846646
1173,1173,0937,RED 48-0937,228,6351.93236290245,2454803.89671074
1174,1174,0938,RED 48-0938,255,8062.79068650673,2980629.11874441
1175,1175,0939,RED 48-0939,475,10428.1860034818,4605320.187715
1176,1176,0940,RED 48-0940,397,9484.34477270205,4230800.09091938
1177,1177,0941,RED 48-0941,326,7892.21904360689,3447432.93474157
1178,1178,0942,RED 48-0942,392,8072.86480014357,3497835.78969767
1179,1179,0944,RED 48-0944,346,6953.37485798533,3078552.213541
1180,1180,0945,RED 48-0945,435,10264.9840059172,4809378.82002
1181,1181,0947,RED 48-0947,382,7860.11660341973,3386607.50178335
1182,1182,0948,RED 48-0948,249,15940.5094089813,14175128.8412765
1183,1183,0949,RED 48-0949,433,10528.343170259,4236322.04630676
1184,1184,0950,RED 48-0950,459,12213.9352322157,5568002.09347701
1185,1185,0951,RED 48-0951,339,6888.70784496915,2496073.38725379
1186,1186,0952,RED 48-0952,299,6972.34226471493,2535210.06017457
1187,1187,0953,RED 48-0953,743,15275.5023483217,9855981.39915233
1188,1188,2448,RED 48-2448,509,9125.48768656577,4300900.36619904
1189,1189,2449,RED 48-2449,534,11569.7967490548,4629530.75038814
1190,1190,2466,RED 48-2466,753,13062.0211498651,8309615.84828351
1191,1191,2467,RED 48-2467,411,7985.22387926941,2860986.05555785
1192,1192,2628,RED 48-2628,512,7639.35356540456,2816560.80940421
1193,1193,2629,RED 48-2629,617,7995.89196625568,3512239.97072201
1194,1194,2630,RED 48-2630,377,7490.50459851911,2579277.38287695
1195,1195,2632,RED 48-2632,217,7163.58867158187,2266370.28452117
1196,1196,2633,RED 48-2633,607,11303.3154256236,5150286.00606561
1197,1197,2634,RED 48-2634,365,8747.35450710702,3411794.19839344
1198,1198,2635,RED 48-2635,384,9087.13616045278,4257262.67476163
1199,1199,2636,RED 48-2636,442,8958.78958637802,4736544.99105266
1200,1200,2640,RED 48-2640,453,8413.09056405599,3958487.19967438
1201,1201,2641,RED 48-2641,587,12487.8595758837,6907522.0743762
1202,1202,2789,RED 48-2789,496,7673.24856011843,3502988.02547265
1203,1203,2790,RED 48-2790,581,12963.6872869344,6137138.37168258
1204,1204,2966,RED 48-2966,536,7396.27581924171,2394108.31100616
1205,1205,2967,RED 48-2967,396,18230.9339095973,15469570.9521043
1206,1206,2968,RED 48-2968,755,24626.7937183571,30356248.9506586
1207,1207,2969,RED 48-2969,424,12084.397796696,3990842.61073501
1208,1208,3134,RED 48-3134,349,7944.05732354433,3496506.99719887
1209,1209,3147,RED 48-3147,528,20152.8625635992,14267084.9493425
1210,1210,3208,RED 48-3208,576,24911.2345261565,28422119.5415731
1211,1211,3313,RED 48-3313,664,11553.2684800901,6624676.56659927
1212,1212,3316,RED 48-3316,619,8218.79294840483,2731103.17318948
1213,1213,3391,RED 48-3391,711,10370.2132573075,4429792.973801
1214,1214,3415,RED 48-3415,334,19168.955077678,9030272.82625755
1215,1215,3475,RED 48-3475,387,21735.9534889434,16323479.3209004
1216,1216,3548,RED 48-3548,282,16141.8350620679,7207256.55798447
1217,1217,3664,RED 48-3664,762,8604.39796658763,3401646.9497337
1218,1218,3738,RED 48-3738,587,8102.79513188647,3787307.01910209
1219,1219,3739,RED 48-3739,263,3836.93159668334,791037.421416108
1220,1220,3417,RED MILL,440,14196.0916406692,8050805.24411044
1221,1221,0956,REGAL,503,7845.46455931653,3644096.29927959
1222,1222,2493,REINTREE,537,25501.4388265341,19510594.7669704
1223,1223,0958,RENHILL,419,19506.829677973,15829726.9782571
1224,1224,3479,RIDGE,762,24098.1898670139,11412604.8223105
1225,1225,1022,RING HILL,760,26646.7412432015,31677425.5527251
1226,1226,2584,RIVERBEND,791,23643.4669125497,22633576.115957
1227,1227,1024,RIVERSIDE,379,53351.5640407048,54160671.9673746
1228,1228,3698,RNT 05-3698,52,4655.70762859857,874998.870081185
1229,1229,0031,RNT 11-0031,713,13347.2244819166,5004615.24278502
1230,1230,0354,RNT 11-0354,500,8095.13467425157,3575043.94793116
1231,1231,0404,RNT 11-0404,588,11808.0748797256,4752584.57155639
1232,1232,0456,RNT 11-0456,713,21071.6592083349,17852959.3501999
1233,1233,0502,RNT 11-0502,787,11734.5916690731,6792035.62090153
1234,1234,0539,RNT 11-0539,499,10887.428206983,5584705.31382941
1235,1235,0719,RNT 11-0719,242,6205.74459681012,2590152.78316631
1236,1236,0738,RNT 11-0738,539,9271.35317684456,3387238.4084962
1237,1237,0804,RNT 11-0804,539,8558.38896892615,3403968.42499201
1238,1238,0962,RNT 11-0962,318,10746.9712302633,2604754.95779511
1239,1239,0964,RNT 11-0964,549,12155.5418518998,4816216.68906546
1240,1240,0970,RNT 11-0970,272,6766.43088422397,1910732.49920174
1241,1241,0971,RNT 11-0971,605,24845.0320579334,14062998.3503172
1242,1242,0973,RNT 11-0973,613,9513.77637144124,4041672.98909212
1243,1243,0975,RNT 11-0975,537,11442.6182452186,4388714.0122212
1244,1244,0978,RNT 11-0978,492,9043.12509678686,3672430.30209738
1245,1245,0979,RNT 11-0979,328,10183.9437089577,4198702.55624072
1246,1246,0980,RNT 11-0980,310,12370.9924385235,4952135.33858652
1247,1247,0981,RNT 11-0981,676,15973.8973367582,12580339.6225499
1248,1248,0983,RNT 11-0983,831,16201.3373325495,9183244.20008227
1249,1249,0984,RNT 11-0984,302,8630.76797452711,2678440.61649729
1250,1250,0985,RNT 11-0985,318,9743.83827065891,4855518.05896628
1251,1251,0986,RNT 11-0986,564,10882.8789521036,7065192.91143391
1252,1252,0988,RNT 11-0988,498,6922.86518242336,2789371.20723673
1253,1253,0990,RNT 11-0990,470,18134.6584993836,11111977.9390407
1254,1254,0992,RNT 11-0992,297,6947.41170549571,2759795.86758402
1255,1255,0996,RNT 11-0996,618,11606.4694852303,7286823.90997947
1256,1256,0997,RNT 11-0997,494,8203.14040497423,3878046.02572172
1257,1257,0998,RNT 11-0998,391,10841.7292243937,5335428.06332567
1258,1258,1002,RNT 11-1002,353,6928.25367273845,2802837.32417757
1259,1259,1004,RNT 11-1004,323,8717.05246636494,2767421.81086753
1260,1260,1006,RNT 11-1006,503,7657.93620551165,3558439.31562437
1261,1261,1007,RNT 11-1007,355,6546.17314997949,2468513.89971064
1262,1262,1008,RNT 11-1008,710,19896.3254472334,15689349.9650478
1263,1263,1011,RNT 11-1011,757,13893.1546260194,6373374.15533701
1264,1264,1012,RNT 11-1012,673,14482.4315298024,7394587.13431476
1265,1265,1015,RNT 11-1015,458,9863.39796534977,5523729.83217375
1266,1266,1109,RNT 11-1109,420,12489.0164962851,5058213.18846521
1267,1267,1125,RNT 11-1125,746,9726.82379520104,5865992.14249923
1268,1268,2475,RNT 11-2475,764,9178.60033904313,5143822.78202967
1269,1269,2581,RNT 11-2581,669,11588.8228652033,6038262.98466814
1270,1270,2582,RNT 11-2582,579,44571.272649577,89236932.5083622
1271,1271,2583,RNT 11-2583,557,9307.09391654418,3846593.17497506
1272,1272,2607,RNT 11-2607,725,12918.2809169931,6094847.26168296
1273,1273,2739,RNT 11-2739,305,6673.82046349907,1611650.38125019
1274,1274,2815,RNT 11-2815,760,7918.51406470759,3474876.1704859
1275,1275,2816,RNT 11-2816,624,12203.7382752921,4438372.01460008
1276,1276,2844,RNT 11-2844,819,11522.3516945908,6139954.14697167
1277,1277,2845,RNT 11-2845,594,18264.3723907557,8084115.09907045
1278,1278,2854,RNT 11-2854,746,7954.01332717711,3499421.19666211
1279,1279,3162,RNT 11-3162,205,24254.162296452,12998502.7670534
1280,1280,3222,RNT 11-3222,622,15021.9908545472,8771129.85896201
1281,1281,3223,RNT 11-3223,275,5789.29129153165,1775290.8433836
1282,1282,3224,RNT 11-3224,464,8535.29471780331,2805085.20070776
1283,1283,3287,RNT 11-3287,787,17044.7115938619,7508947.39593248
1284,1284,3359,RNT 11-3359,544,9455.84341028532,4977669.74240935
1285,1285,3404,RNT 11-3404,605,9167.43467372668,5142907.60635144
1286,1286,3555,RNT 11-3555,493,12782.245738955,4961498.82886608
1287,1287,3563,RNT 11-3563,783,10538.1146129849,5847763.71467691
1288,1288,3564,RNT 11-3564,657,17487.7964247323,8230472.27601288
1289,1289,3575,RNT 11-3575,643,13330.8478815078,9189619.6452282
1290,1290,3588,RNT 11-3588,547,8785.4071898324,3410167.08191722
1291,1291,3590,RNT 11-3590,700,11956.9295558621,6698648.79541764
1292,1292,3604,RNT 11-3604,637,10950.3829169572,4018845.69252396
1293,1293,3609,RNT 11-3609,597,15760.0343349727,7372275.44946661
1294,1294,3619,RNT 11-3619,516,8962.70245304247,3589723.82830977
1295,1295,3643,RNT 11-3643,391,15850.4446849268,6144669.51819985
1296,1296,3660,RNT 11-3660,559,9536.76107862653,3877591.16885692
1297,1297,3683,RNT 11-3683,340,7897.89992150419,3474847.12043559
1298,1298,3751,RNT 11-3751,423,9390.9304580407,3219026.87846601
1299,1299,3756,RNT 11-3756,501,8559.38943268986,3507066.63541548
1300,1300,3777,RNT 11-3777,403,5431.4226066988,1689451.75801427
1301,1301,3779,RNT 11-3779,428,6495.34873461582,2470575.88071241
1302,1302,3780,RNT 11-3780,487,9232.68112241139,4357787.46801501
1303,1303,3784,RNT 11-3784,321,17501.3586649759,7901570.45845373
1304,1304,0455,RNT 33-0455,755,16099.7591391411,13576236.6505791
1305,1305,1204,RNT 33-1204,831,14429.9057357087,7136247.37239461
1306,1306,2472,RNT 33-2472,739,16629.9486581503,10297638.9687717
1307,1307,3535,RNT 33-3535,744,10586.3434581363,5180614.6734752
1308,1308,0965,RNT 37-0965,788,21901.7758799795,14777040.0482236
1309,1309,0967,RNT 37-0967,569,12968.7792931835,5449954.57539798
1310,1310,0969,RNT 37-0969,0,1083.6367131927,73344.6681473243
1311,1311,0991,RNT 37-0991,640,19182.9062556414,16255294.5854573
1312,1312,0999,RNT 37-0999,765,14216.5242762562,8195413.22369422
1313,1313,1000,RNT 37-1000,604,14665.7797034431,10848390.495347
1314,1314,3154,RNT 37-3154,830,19065.8142232767,7979685.55993759
1315,1315,3650,RNT 37-3650,499,10119.9031153864,5286246.92315356
1316,1316,0989,RNT 41-0989,760,15984.3800774178,7684375.04941291
1317,1317,0993,RNT 41-0993,746,11683.9730653264,6320481.88221029
1318,1318,0994,RNT 41-0994,501,8423.25987923565,4293823.91875217
1319,1319,0995,RNT 41-0995,773,26741.7424956165,15726995.3352524
1320,1320,1010,RNT 41-1010,459,9694.01974625313,3545965.13963306
1321,1321,1017,RNT 41-1017,567,9630.09581677102,4339128.9621753
1322,1322,1018,RNT 41-1018,796,16932.2945800975,9020981.03798559
1323,1323,3438,RNT 41-3438,410,7024.34513223849,2902866.50960704
1324,1324,2651,ROSE,441,20761.2766493129,15573959.4311209
1325,1325,1035,ROUNDTABLE,627,11409.8147438522,5709884.48157496
1326,1326,1036,ROWAN,378,7061.76520919141,2493277.44595845
1327,1327,3624,ROYAL,350,19532.2997049511,7373152.61366868
1328,1328,2740,RUDDELL,411,8454.38568771345,4213926.48841794
1329,1329,3444,RUSS,33,10588.4902943449,1961138.33406069
1330,1330,3327,SALAL,364,18104.6638334816,12861370.3365695
1331,1331,3210,SALISH,711,27950.4803166847,26241177.4727159
1332,1332,2718,SAM 05-2718,599,12344.3911274512,3523532.81691798
1333,1333,2941,SAM 05-2941,492,10290.8419622205,3204276.91694367
1334,1334,2971,SAM 05-2971,296,9550.77756136043,5009639.73024718
1335,1335,2972,SAM 05-2972,817,19734.1145726449,7307219.19381873
1336,1336,2975,SAM 05-2975,476,9640.78105791546,4625890.02912868
1337,1337,3202,SAM 05-3202,285,7544.52107729908,3145150.05052442
